Metric,SPY,Strategy
Risk-Free Rate,4.18%,4.18%
Time in Market,69.0%,11.0%
,,
Total Return,35%,"-1,214%"
CAGR% (Annual Return),10.21%,118.15%
,,
Sharpe,0.41,-0.55
RoMaD,0.46,0.22
Corr to Benchmark,1.0,0.03
Prob. Sharpe Ratio,39.61%,0.0%
Smart Sharpe,0.41,-0.55
Sortino,0.58,-0.55
Smart Sortino,0.58,-0.55
Sortino/√2,0.41,-0.39
Smart Sortino/√2,0.41,-0.39
Omega,0.07,0.07
,,
Max Drawdown,-22.09%,-547.52%
Longest DD Days,475,863
Volatility (ann.),17.28%,4516.4%
R^2,0.0,0.0
Information Ratio,-0.03,-0.03
Calmar,0.46,0.22
Skew,-0.17,-33.57
Kurtosis,4.06,1127.47
,,
Expected Daily%,0.03%,-
Expected Monthly%,0.79%,-
Expected Yearly%,7.8%,-
Daily Value-at-Risk,-1.46%,-395.63%
Expected Shortfall (cVaR),-1.46%,-395.63%
,,
MTD,-4.55%,0.0%
3M,-2.95%,0.0%
6M,1.67%,0.0%
YTD,-3.23%,0.0%
1Y,11.65%,0.0%
3Y (ann.),10.82%,128.45%
5Y (ann.),10.21%,118.15%
10Y (ann.),10.21%,118.15%
All-time (ann.),10.21%,118.15%
,,
Best Day,5.5%,96.55%
Worst Day,-4.35%,-7940.22%
Best Month,9.13%,160.7%
Worst Month,-9.24%,-299.74%
Best Year,26.03%,0.0%
Worst Year,-11.84%,-1214.02%
,,
Avg. Drawdown,-2.4%,-299.07%
Avg. Drawdown Days,25,559
Recovery Factor,1.57,13.99
Ulcer Index,0.09,4.06
Serenity Index,0.2,-6.19
,,
Avg. Up Month,4.49%,97.03%
Avg. Down Month,-,-
Win Days,603.2,677.4
Loss Days,525.8,451.6
Win Days%,53.43%,60.0%
Win Month%,57.89%,55.56%
Win Quarter%,69.23%,40.0%
Win Year%,50.0%,0.0%
,,
Beta,-,6.83
Alpha,-,-25.53
Correlation,-,2.61%
Treynor Ratio,-,-178.24%
