time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-02-15 09:30:00-05:00,GoldSentimentTrader,bef420740eaa4d33bb25223e18f2f971,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2022-02-15 09:30:00-05:00,GoldSentimentTrader,bef420740eaa4d33bb25223e18f2f971,GLD,buy,market,fill,1,gtc,0.0,1,stock,173.10000610351562,289.0,0.0
2022-02-16 09:30:00-05:00,GoldSentimentTrader,cc6087f0db04479ebce1103f171b91d7,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2022-02-16 09:30:00-05:00,GoldSentimentTrader,cc6087f0db04479ebce1103f171b91d7,GLD,buy,market,fill,1,gtc,0.0,1,stock,173.49000549316406,288.0,0.0
2022-02-24 08:30:00-05:00,GoldSentimentTrader,b5b637d6f53f41f9895cd6831060a56c,GLD,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2022-02-24 08:30:00-05:00,GoldSentimentTrader,709dd4a874e641d3aeb8d21a8e5f3b20,GLD,sell_to_close,limit,fill,1,day,0.0,1,stock,182.58999633789062,289.0,0.0
2022-03-04 08:30:00-05:00,GoldSentimentTrader,039f73b87bf2428393f27ad6aae4cfa4,GLD,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2022-03-04 08:30:00-05:00,GoldSentimentTrader,7c56c466b6ef40d8b3a9e6489a996bfd,GLD,sell_to_close,limit,fill,1,day,0.0,1,stock,182.85340826500374,288.0,0.0
2022-11-03 09:30:00-04:00,GoldSentimentTrader,b8cc2ac0859e4bd7a7c54dd2d434fa38,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2022-11-03 09:30:00-04:00,GoldSentimentTrader,b8cc2ac0859e4bd7a7c54dd2d434fa38,GLD,buy,market,fill,1,gtc,0.0,1,stock,150.6999969482422,332.0,0.0
2022-11-04 09:30:00-04:00,GoldSentimentTrader,be4b6c81173542cfa53c1e4f56ca9eaf,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2022-11-04 09:30:00-04:00,GoldSentimentTrader,be4b6c81173542cfa53c1e4f56ca9eaf,GLD,buy,market,fill,1,gtc,0.0,1,stock,154.9499969482422,323.0,0.0
2022-11-07 09:30:00-05:00,GoldSentimentTrader,590407581b084bfda264c1e1d245dfa0,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2022-11-07 09:30:00-05:00,GoldSentimentTrader,590407581b084bfda264c1e1d245dfa0,GLD,buy,market,fill,1,gtc,0.0,1,stock,156.22000122070312,320.0,0.0
2022-11-08 08:30:00-05:00,GoldSentimentTrader,e1b798d9d22f4c9dbf1cde99263945cc,GLD,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2022-11-08 08:30:00-05:00,GoldSentimentTrader,26bca32cf20d472e848252f0f57f34ef,GLD,sell_to_close,limit,fill,1,day,0.0,1,stock,158.87956967037962,332.0,0.0
2022-11-10 08:30:00-05:00,GoldSentimentTrader,5ac1958c337c46ffb05a5dd68542ff57,GLD,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2022-11-10 08:30:00-05:00,GoldSentimentTrader,e445aeb5dc08408998bd24252b289129,GLD,sell_to_close,limit,fill,1,day,0.0,1,stock,163.36024773788498,323.0,0.0
2022-11-14 08:30:00-05:00,GoldSentimentTrader,216d7b50fcde4726a585c486fff68df5,GLD,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2022-11-14 08:30:00-05:00,GoldSentimentTrader,5fcd37b919fc4a5a80cf181b99dbf0dc,GLD,sell_to_close,limit,fill,1,day,0.0,1,stock,164.69918427653295,320.0,0.0
2023-03-27 09:30:00-04:00,GoldSentimentTrader,692def8b8c3d4b88ac74e0db5a6763be,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-27 09:30:00-04:00,GoldSentimentTrader,692def8b8c3d4b88ac74e0db5a6763be,GLD,buy,market,fill,1,gtc,0.0,1,stock,181.14999389648438,276.0,0.0
2023-03-28 09:30:00-04:00,GoldSentimentTrader,d62a1ed7df96464fac1ab08dfde6513f,GLD,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-28 09:30:00-04:00,GoldSentimentTrader,d62a1ed7df96464fac1ab08dfde6513f,GLD,buy,market,fill,1,gtc,0.0,1,stock,182.30999755859375,274.0,0.0
2023-04-24 09:30:00-04:00,GoldSentimentTrader,c8ce82255b114555a4f784e324c57463,GLD,sell_to_close,limit,canceled,1,day,0.0,1,stock,,,
2023-04-24 09:30:00-04:00,GoldSentimentTrader,eb4c7e240af24caaa7c96330996a99db,GLD,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2023-04-24 09:30:00-04:00,GoldSentimentTrader,4b7284e3ec0f44efb2784f870939de43,GLD,sell_to_close,limit,canceled,1,day,0.0,1,stock,,,
2023-04-24 09:30:00-04:00,GoldSentimentTrader,55dab0e462484cd4945a5c48a17dc3d7,GLD,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
2023-04-24 09:30:00-04:00,GoldSentimentTrader,692def8b8c3d4b88ac74e0db5a6763be,GLD,buy,market,fill,1,gtc,0.0,1,stock,,,0.0
2023-04-24 09:30:00-04:00,GoldSentimentTrader,d62a1ed7df96464fac1ab08dfde6513f,GLD,buy,market,fill,1,gtc,0.0,1,stock,,,0.0
2023-04-24 09:30:00-04:00,GoldSentimentTrader,c8ce82255b114555a4f784e324c57463,GLD,sell_to_close,limit,canceled,1,day,0.0,1,stock,,,
2023-04-24 09:30:00-04:00,GoldSentimentTrader,4b7284e3ec0f44efb2784f870939de43,GLD,sell_to_close,limit,canceled,1,day,0.0,1,stock,,,
2023-04-24 09:30:00-04:00,GoldSentimentTrader,55dab0e462484cd4945a5c48a17dc3d7,GLD,sell_to_close,stop,canceled,1,day,0.0,1,stock,,,
