time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2025-01-03 09:30:00-05:00,MLTrader,ac0f38a5957a401d9e03180ac1a8a62d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2025-01-03 09:30:00-05:00,MLTrader,ac0f38a5957a401d9e03180ac1a8a62d,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.530029296875,85.0,0.0
2025-01-16 09:30:00-05:00,MLTrader,400141e3d7104989a10ed3ca9c2511fd,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2025-01-16 09:30:00-05:00,MLTrader,400141e3d7104989a10ed3ca9c2511fd,SPY,sell,market,fill,1,gtc,0.0,1,stock,594.1699829101562,84.0,0.0
2025-01-28 09:30:00-05:00,MLTrader,d2c104a633ee427e96a1beb6b6b1b603,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2025-01-28 09:30:00-05:00,MLTrader,d2c104a633ee427e96a1beb6b6b1b603,SPY,sell,market,fill,1,gtc,0.0,1,stock,600.6199951171875,83.0,0.0
2025-01-29 09:30:00-05:00,MLTrader,b262d18c51f5400cbb98dc9b1509fc90,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2025-01-29 09:30:00-05:00,MLTrader,b262d18c51f5400cbb98dc9b1509fc90,SPY,sell,market,fill,1,gtc,0.0,1,stock,603.719970703125,83.0,0.0
2025-02-12 09:30:00-05:00,MLTrader,49b9daf650e24f1a888873f484365803,SPY,buy_to_close,limit,canceled,1,day,0.0,1,stock,,,
2025-02-12 09:30:00-05:00,MLTrader,74e0c34ab9fe4518b0070d6f405d96e1,SPY,buy_to_close,stop,canceled,1,day,0.0,1,stock,,,
2025-02-12 09:30:00-05:00,MLTrader,f01009baca134a3eabc9f1040b51b3b1,SPY,buy_to_close,limit,canceled,1,day,0.0,1,stock,,,
2025-02-12 09:30:00-05:00,MLTrader,0a0d92f295804a969470ee6e3da0e521,SPY,buy_to_close,stop,canceled,1,day,0.0,1,stock,,,
2025-02-12 09:30:00-05:00,MLTrader,80cdf341702d4e2cbf68ff8d824ef5d0,SPY,buy_to_close,limit,canceled,1,day,0.0,1,stock,,,
2025-02-12 09:30:00-05:00,MLTrader,5cfaa35e29ef49289232a3be40d1637f,SPY,buy_to_close,stop,canceled,1,day,0.0,1,stock,,,
2025-02-12 09:30:00-05:00,MLTrader,7255144601664e81b1ef866124064c34,SPY,buy_to_close,limit,canceled,1,day,0.0,1,stock,,,
2025-02-12 09:30:00-05:00,MLTrader,99a3bce0f2f54756bfe68e02810b5f9d,SPY,buy_to_close,stop,canceled,1,day,0.0,1,stock,,,
2025-02-12 09:30:00-05:00,MLTrader,ac0f38a5957a401d9e03180ac1a8a62d,SPY,sell,market,fill,1,gtc,0.0,1,stock,,,0.0
2025-02-12 09:30:00-05:00,MLTrader,49b9daf650e24f1a888873f484365803,SPY,buy_to_close,limit,canceled,1,day,0.0,1,stock,,,
2025-02-12 09:30:00-05:00,MLTrader,400141e3d7104989a10ed3ca9c2511fd,SPY,sell,market,fill,1,gtc,0.0,1,stock,,,0.0
2025-02-12 09:30:00-05:00,MLTrader,d2c104a633ee427e96a1beb6b6b1b603,SPY,sell,market,fill,1,gtc,0.0,1,stock,,,0.0
2025-02-12 09:30:00-05:00,MLTrader,b262d18c51f5400cbb98dc9b1509fc90,SPY,sell,market,fill,1,gtc,0.0,1,stock,,,0.0
2025-02-12 09:30:00-05:00,MLTrader,80cdf341702d4e2cbf68ff8d824ef5d0,SPY,buy_to_close,limit,canceled,1,day,0.0,1,stock,,,
2025-02-12 09:30:00-05:00,MLTrader,5cfaa35e29ef49289232a3be40d1637f,SPY,buy_to_close,stop,canceled,1,day,0.0,1,stock,,,
2025-02-12 09:30:00-05:00,MLTrader,f01009baca134a3eabc9f1040b51b3b1,SPY,buy_to_close,limit,canceled,1,day,0.0,1,stock,,,
2025-02-12 09:30:00-05:00,MLTrader,0a0d92f295804a969470ee6e3da0e521,SPY,buy_to_close,stop,canceled,1,day,0.0,1,stock,,,
2025-02-12 09:30:00-05:00,MLTrader,7255144601664e81b1ef866124064c34,SPY,buy_to_close,limit,canceled,1,day,0.0,1,stock,,,
2025-02-12 09:30:00-05:00,MLTrader,99a3bce0f2f54756bfe68e02810b5f9d,SPY,buy_to_close,stop,canceled,1,day,0.0,1,stock,,,
2025-02-12 09:30:00-05:00,MLTrader,74e0c34ab9fe4518b0070d6f405d96e1,SPY,buy_to_close,stop,canceled,1,day,0.0,1,stock,,,
2025-02-12 09:30:00-05:00,MLTrader,75a78079763a4e6aad4ae5a9d70bc6bf,SPY,buy,market,new,1,day,0.0,1,stock,,,
2025-02-12 09:30:00-05:00,MLTrader,a31ae7004d7848479c9b0c0e101daea7,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2025-02-12 09:30:00-05:00,MLTrader,75a78079763a4e6aad4ae5a9d70bc6bf,SPY,buy,market,fill,1,day,0.0,1,stock,599.2000122070312,335.0,0.0
2025-02-12 09:30:00-05:00,MLTrader,a31ae7004d7848479c9b0c0e101daea7,SPY,buy,market,fill,1,gtc,0.0,1,stock,599.2000122070312,83.0,0.0
2025-03-07 09:30:00-05:00,MLTrader,8262d4cabaf24013be239a0ddc9892e8,SPY,sell_to_close,limit,canceled,1,day,0.0,1,stock,,,
2025-03-07 09:30:00-05:00,MLTrader,8d6744d7a2b547a59d1ddb7195aea2a3,SPY,sell_to_close,stop,fill,1,day,0.0,1,stock,569.2400115966797,83.0,0.0
